Computing daily ATM IV...
[2019-08-15] Could not fetch data (might be a holiday)
[2019-08-16] Loading from cache
[2019-08-19] Loading from cache
[2019-08-20] Loading from cache
[2019-08-21] Loading from cache
[2019-08-22] Loading from cache
[2019-08-23] Loading from cache
[2019-08-26] Loading from cache
[2019-08-27] Loading from cache
[2019-08-28] Loading from cache
[2019-08-29] Loading from cache
[2019-08-30] Loading from cache
[2019-09-02] Could not fetch data (might be a holiday)
[2019-09-03] Loading from cache
[2019-09-04] Loading from cache
[2019-09-05] Loading from cache
[2019-09-06] Loading from cache
[2019-09-09] Loading from cache
[2019-09-10] Could not fetch data (might be a holiday)
[2019-09-11] Loading from cache
[2019-09-12] Loading from cache
[2019-09-13] Loading from cache
[2019-09-16] Loading from cache
[2019-09-17] Loading from cache
[2019-09-18] Loading from cache
[2019-09-19] Loading from cache
[2019-09-20] Loading from cache
[2019-09-23] Loading from cache
[2019-09-24] Loading from cache
[2019-09-25] Loading from cache
[2019-09-26] Loading from cache
[2019-09-27] Loading from cache
[2019-09-30] Loading from cache
[2019-10-01] Loading from cache
[2019-10-02] Could not fetch data (might be a holiday)
[2019-10-03] Loading from cache
[2019-10-04] Loading from cache
[2019-10-07] Loading from cache
[2019-10-08] Could not fetch data (might be a holiday)
[2019-10-09] Loading from cache
[2019-10-10] Loading from cache
[2019-10-11] Loading from cache
[2019-10-14] Loading from cache
[2019-10-15] Loading from cache
[2019-10-16] Loading from cache
[2019-10-17] Loading from cache
[2019-10-18] Loading from cache
[2019-10-21] Could not fetch data (might be a holiday)
[2019-10-22] Loading from cache
[2019-10-23] Loading from cache
[2019-10-24] Loading from cache
[2019-10-25] Loading from cache
[2019-10-28] Could not fetch data (might be a holiday)
[2019-10-29] Loading from cache
[2019-10-30] Loading from cache
[2019-10-31] Loading from cache
[2019-11-01] Loading from cache
[2019-11-04] Loading from cache
[2019-11-05] Loading from cache
[2019-11-06] Loading from cache
[2019-11-07] Loading from cache
[2019-11-08] Loading from cache
[2019-11-11] Loading from cache
[2019-11-12] Could not fetch data (might be a holiday)
[2019-11-13] Loading from cache
[2019-11-14] Loading from cache
[2019-11-15] Loading from cache
[2019-11-18] Loading from cache
[2019-11-19] Loading from cache
[2019-11-20] Loading from cache
[2019-11-21] Loading from cache
[2019-11-22] Loading from cache
[2019-11-25] Loading from cache
[2019-11-26] Loading from cache
[2019-11-27] Loading from cache
[2019-11-28] Loading from cache
[2019-11-29] Loading from cache
[2019-12-02] Loading from cache
[2019-12-03] Loading from cache
[2019-12-04] Loading from cache
[2019-12-05] Loading from cache
[2019-12-06] Loading from cache
[2019-12-09] Loading from cache
[2019-12-10] Loading from cache
[2019-12-11] Loading from cache
[2019-12-12] Loading from cache
[2019-12-13] Loading from cache
[2019-12-16] Loading from cache
[2019-12-17] Loading from cache
[2019-12-18] Loading from cache
[2019-12-19] Loading from cache
[2019-12-20] Loading from cache
[2019-12-23] Loading from cache
[2019-12-24] Loading from cache
[2019-12-25] Could not fetch data (might be a holiday)
[2019-12-26] Loading from cache
[2019-12-27] Loading from cache
[2019-12-30] Loading from cache
[2019-12-31] Loading from cache
[2020-01-01] Loading from cache
[2020-01-02] Loading from cache
[2020-01-03] Loading from cache
[2020-01-06] Loading from cache
[2020-01-07] Loading from cache
[2020-01-08] Loading from cache
[2020-01-09] Loading from cache
[2020-01-10] Loading from cache
[2020-01-13] Loading from cache
[2020-01-14] Loading from cache
[2020-01-15] Loading from cache
[2020-01-16] Loading from cache
[2020-01-17] Loading from cache
[2020-01-20] Loading from cache
[2020-01-21] Loading from cache
[2020-01-22] Loading from cache
[2020-01-23] Loading from cache
[2020-01-24] Loading from cache
[2020-01-27] Loading from cache
[2020-01-28] Loading from cache
[2020-01-29] Loading from cache
[2020-01-30] Loading from cache
[2020-01-31] Loading from cache
[2020-02-03] Loading from cache
[2020-02-04] Loading from cache
[2020-02-05] Loading from cache
[2020-02-06] Loading from cache
[2020-02-07] Loading from cache
[2020-02-10] Loading from cache
[2020-02-11] Loading from cache
[2020-02-12] Loading from cache
[2020-02-13] Loading from cache
[2020-02-14] Loading from cache
[2020-02-17] Loading from cache
[2020-02-18] Loading from cache
[2020-02-19] Loading from cache
[2020-02-20] Loading from cache
[2020-02-21] Could not fetch data (might be a holiday)
[2020-02-24] Loading from cache
[2020-02-25] Loading from cache
[2020-02-26] Loading from cache
[2020-02-27] Loading from cache
[2020-02-28] Loading from cache
[2020-03-02] Loading from cache
[2020-03-03] Loading from cache
[2020-03-04] Loading from cache
[2020-03-05] Loading from cache
[2020-03-06] Loading from cache
[2020-03-09] Loading from cache
[2020-03-10] Could not fetch data (might be a holiday)
[2020-03-11] Loading from cache
[2020-03-12] Loading from cache
[2020-03-13] Loading from cache
[2020-03-16] Loading from cache
[2020-03-17] Loading from cache
[2020-03-18] Loading from cache
[2020-03-19] Loading from cache
[2020-03-20] Loading from cache
[2020-03-23] Loading from cache
[2020-03-24] Loading from cache
[2020-03-25] Loading from cache
[2020-03-26] Loading from cache
[2020-03-27] Loading from cache
[2020-03-30] Loading from cache
[2020-03-31] Loading from cache
[2020-04-01] Loading from cache
[2020-04-02] Could not fetch data (might be a holiday)
[2020-04-03] Loading from cache
[2020-04-06] Could not fetch data (might be a holiday)
[2020-04-07] Loading from cache
[2020-04-08] Loading from cache
[2020-04-09] Loading from cache
[2020-04-10] Could not fetch data (might be a holiday)
[2020-04-13] Loading from cache
[2020-04-14] Could not fetch data (might be a holiday)
[2020-04-15] Loading from cache
[2020-04-16] Loading from cache
[2020-04-17] Loading from cache
[2020-04-20] Loading from cache
[2020-04-21] Loading from cache
[2020-04-22] Loading from cache
[2020-04-23] Loading from cache
[2020-04-24] Loading from cache
[2020-04-27] Loading from cache
[2020-04-28] Loading from cache
[2020-04-29] Loading from cache
[2020-04-30] Loading from cache
[2020-05-01] Could not fetch data (might be a holiday)
[2020-05-04] Loading from cache
[2020-05-05] Loading from cache
[2020-05-06] Loading from cache
[2020-05-07] Loading from cache
[2020-05-08] Loading from cache
[2020-05-11] Loading from cache
[2020-05-12] Loading from cache
[2020-05-13] Loading from cache
[2020-05-14] Loading from cache
[2020-05-15] Loading from cache
[2020-05-18] Loading from cache
[2020-05-19] Loading from cache
[2020-05-20] Loading from cache
[2020-05-21] Loading from cache
[2020-05-22] Loading from cache
[2020-05-25] Could not fetch data (might be a holiday)
[2020-05-26] Loading from cache
[2020-05-27] Loading from cache
[2020-05-28] Loading from cache
[2020-05-29] Loading from cache
[2020-06-01] Loading from cache
[2020-06-02] Loading from cache
[2020-06-03] Loading from cache
[2020-06-04] Loading from cache
[2020-06-05] Loading from cache
[2020-06-08] Loading from cache
[2020-06-09] Loading from cache
[2020-06-10] Loading from cache
[2020-06-11] Loading from cache
[2020-06-12] Loading from cache
[2020-06-15] Loading from cache
[2020-06-16] Loading from cache
[2020-06-17] Loading from cache
[2020-06-18] Loading from cache
[2020-06-19] Loading from cache
[2020-06-22] Loading from cache
[2020-06-23] Loading from cache
[2020-06-24] Loading from cache
[2020-06-25] Loading from cache
[2020-06-26] Loading from cache
[2020-06-29] Loading from cache
[2020-06-30] Loading from cache
[2020-07-01] Loading from cache
[2020-07-02] Loading from cache
[2020-07-03] Loading from cache
[2020-07-06] Loading from cache
[2020-07-07] Loading from cache
[2020-07-08] Loading from cache
[2020-07-09] Loading from cache
[2020-07-10] Loading from cache
[2020-07-13] Loading from cache
[2020-07-14] Loading from cache
[2020-07-15] Loading from cache
[2020-07-16] Loading from cache
[2020-07-17] Loading from cache
[2020-07-20] Loading from cache
[2020-07-21] Loading from cache
[2020-07-22] Loading from cache
[2020-07-23] Loading from cache
[2020-07-24] Loading from cache
[2020-07-27] Loading from cache
[2020-07-28] Loading from cache
[2020-07-29] Loading from cache
[2020-07-30] Loading from cache
[2020-07-31] Loading from cache
[2020-08-03] Loading from cache
[2020-08-04] Loading from cache
[2020-08-05] Loading from cache
[2020-08-06] Loading from cache
[2020-08-07] Loading from cache
[2020-08-10] Loading from cache
[2020-08-11] Loading from cache
[2020-08-12] Loading from cache
[2020-08-13] Loading from cache
[2020-08-14] Loading from cache
[2020-08-17] Loading from cache
[2020-08-18] Loading from cache
[2020-08-19] Loading from cache
[2020-08-20] Loading from cache
[2020-08-21] Loading from cache
[2020-08-24] Loading from cache
[2020-08-25] Loading from cache
[2020-08-26] Loading from cache
[2020-08-27] Loading from cache
[2020-08-28] Loading from cache
[2020-08-31] Loading from cache
[2020-09-01] Loading from cache
[2020-09-02] Loading from cache
[2020-09-03] Loading from cache
[2020-09-04] Loading from cache
[2020-09-07] Loading from cache
[2020-09-08] Loading from cache
[2020-09-09] Loading from cache
[2020-09-10] Loading from cache
[2020-09-11] Loading from cache
[2020-09-14] Loading from cache
[2020-09-15] Loading from cache
[2020-09-16] Loading from cache
[2020-09-17] Loading from cache
[2020-09-18] Loading from cache
[2020-09-21] Loading from cache
[2020-09-22] Loading from cache
[2020-09-23] Loading from cache
[2020-09-24] Loading from cache
[2020-09-25] Loading from cache
[2020-09-28] Loading from cache
[2020-09-29] Loading from cache
[2020-09-30] Loading from cache
[2020-10-01] Loading from cache
[2020-10-02] Could not fetch data (might be a holiday)
[2020-10-05] Loading from cache
[2020-10-06] Loading from cache
[2020-10-07] Loading from cache
[2020-10-08] Loading from cache
[2020-10-09] Loading from cache
[2020-10-12] Loading from cache
[2020-10-13] Loading from cache
[2020-10-14] Loading from cache
[2020-10-15] Loading from cache
[2020-10-16] Loading from cache
[2020-10-19] Loading from cache
[2020-10-20] Loading from cache
[2020-10-21] Loading from cache
[2020-10-22] Loading from cache
[2020-10-23] Loading from cache
[2020-10-26] Loading from cache
[2020-10-27] Loading from cache
[2020-10-28] Loading from cache
[2020-10-29] Loading from cache
[2020-10-30] Loading from cache
[2020-11-02] Loading from cache
[2020-11-03] Loading from cache
[2020-11-04] Loading from cache
[2020-11-05] Loading from cache
[2020-11-06] Loading from cache
[2020-11-09] Loading from cache
[2020-11-10] Loading from cache
[2020-11-11] Loading from cache
[2020-11-12] Loading from cache
[2020-11-13] Loading from cache
[2020-11-16] Could not fetch data (might be a holiday)
[2020-11-17] Loading from cache
[2020-11-18] Loading from cache
[2020-11-19] Loading from cache
[2020-11-20] Loading from cache
[2020-11-23] Loading from cache
[2020-11-24] Loading from cache
[2020-11-25] Loading from cache
[2020-11-26] Loading from cache
[2020-11-27] Loading from cache
[2020-11-30] Could not fetch data (might be a holiday)
[2020-12-01] Loading from cache
[2020-12-02] Loading from cache
[2020-12-03] Loading from cache
[2020-12-04] Loading from cache
[2020-12-07] Loading from cache
[2020-12-08] Loading from cache
[2020-12-09] Loading from cache
[2020-12-10] Loading from cache
[2020-12-11] Loading from cache
[2020-12-14] Loading from cache
[2020-12-15] Loading from cache
[2020-12-16] Loading from cache
[2020-12-17] Loading from cache
[2020-12-18] Loading from cache
[2020-12-21] Loading from cache
[2020-12-22] Loading from cache
[2020-12-23] Loading from cache
[2020-12-24] Loading from cache
[2020-12-25] Could not fetch data (might be a holiday)
[2020-12-28] Loading from cache
[2020-12-29] Loading from cache
[2020-12-30] Loading from cache
[2020-12-31] Loading from cache
[2021-01-01] Loading from cache
[2021-01-04] Loading from cache
[2021-01-05] Loading from cache
[2021-01-06] Loading from cache
[2021-01-07] Loading from cache
[2021-01-08] Loading from cache
[2021-01-11] Loading from cache
[2021-01-12] Loading from cache
[2021-01-13] Loading from cache
[2021-01-14] Loading from cache
[2021-01-15] Loading from cache
[2021-01-18] Loading from cache
[2021-01-19] Loading from cache
[2021-01-20] Loading from cache
[2021-01-21] Loading from cache
[2021-01-22] Loading from cache
[2021-01-25] Loading from cache
[2021-01-26] Could not fetch data (might be a holiday)
[2021-01-27] Loading from cache
[2021-01-28] Loading from cache
[2021-01-29] Loading from cache
[2021-02-01] Loading from cache
[2021-02-02] Loading from cache
[2021-02-03] Loading from cache
[2021-02-04] Loading from cache
[2021-02-05] Loading from cache
[2021-02-08] Loading from cache
[2021-02-09] Loading from cache
[2021-02-10] Loading from cache
[2021-02-11] Loading from cache
[2021-02-12] Loading from cache
[2021-02-15] Loading from cache
[2021-02-16] Loading from cache
[2021-02-17] Loading from cache
[2021-02-18] Loading from cache
[2021-02-19] Loading from cache
[2021-02-22] Loading from cache
[2021-02-23] Loading from cache
[2021-02-24] Loading from cache
[2021-02-25] Loading from cache
[2021-02-26] Loading from cache
[2021-03-01] Loading from cache
[2021-03-02] Loading from cache
[2021-03-03] Loading from cache
[2021-03-04] Loading from cache
[2021-03-05] Loading from cache
[2021-03-08] Loading from cache
[2021-03-09] Loading from cache
[2021-03-10] Loading from cache
[2021-03-11] Could not fetch data (might be a holiday)
[2021-03-12] Loading from cache
[2021-03-15] Loading from cache
[2021-03-16] Loading from cache
[2021-03-17] Loading from cache
[2021-03-18] Loading from cache
[2021-03-19] Loading from cache
[2021-03-22] Loading from cache
[2021-03-23] Loading from cache
[2021-03-24] Loading from cache
[2021-03-25] Loading from cache
[2021-03-26] Loading from cache
[2021-03-29] Could not fetch data (might be a holiday)
[2021-03-30] Could not fetch data (might be a holiday)
[2021-03-31] Loading from cache
[2021-04-01] Loading from cache
[2021-04-02] Could not fetch data (might be a holiday)
[2021-04-05] Loading from cache
[2021-04-06] Loading from cache
[2021-04-07] Loading from cache
[2021-04-08] Loading from cache
[2021-04-09] Loading from cache
[2021-04-12] Loading from cache
[2021-04-13] Loading from cache
[2021-04-14] Could not fetch data (might be a holiday)
[2021-04-15] Loading from cache
[2021-04-16] Loading from cache
[2021-04-19] Loading from cache
[2021-04-20] Loading from cache
[2021-04-21] Could not fetch data (might be a holiday)
[2021-04-22] Loading from cache
[2021-04-23] Loading from cache
[2021-04-26] Loading from cache
[2021-04-27] Loading from cache
[2021-04-28] Loading from cache
[2021-04-29] Loading from cache
[2021-04-30] Loading from cache
[2021-05-03] Loading from cache
[2021-05-04] Loading from cache
[2021-05-05] Loading from cache
[2021-05-06] Loading from cache
[2021-05-07] Loading from cache
[2021-05-10] Loading from cache
[2021-05-11] Loading from cache
[2021-05-12] Loading from cache
[2021-05-13] Could not fetch data (might be a holiday)
[2021-05-14] Loading from cache
[2021-05-17] Loading from cache
[2021-05-18] Loading from cache
[2021-05-19] Loading from cache
[2021-05-20] Loading from cache
[2021-05-21] Loading from cache
[2021-05-24] Loading from cache
[2021-05-25] Loading from cache
[2021-05-26] Loading from cache
[2021-05-27] Loading from cache
[2021-05-28] Loading from cache
[2021-05-31] Loading from cache
[2021-06-01] Loading from cache
[2021-06-02] Loading from cache
[2021-06-03] Loading from cache
[2021-06-04] Loading from cache
[2021-06-07] Loading from cache
[2021-06-08] Loading from cache
[2021-06-09] Loading from cache
[2021-06-10] Loading from cache
[2021-06-11] Loading from cache
[2021-06-14] Loading from cache
[2021-06-15] Loading from cache
[2021-06-16] Loading from cache
[2021-06-17] Loading from cache
[2021-06-18] Loading from cache
[2021-06-21] Loading from cache
[2021-06-22] Loading from cache
[2021-06-23] Loading from cache
[2021-06-24] Loading from cache
[2021-06-25] Loading from cache
[2021-06-28] Loading from cache
[2021-06-29] Loading from cache
[2021-06-30] Loading from cache
[2021-07-01] Loading from cache
[2021-07-02] Loading from cache
[2021-07-05] Loading from cache
[2021-07-06] Loading from cache
[2021-07-07] Loading from cache
[2021-07-08] Loading from cache
[2021-07-09] Loading from cache
[2021-07-12] Loading from cache
[2021-07-13] Loading from cache
[2021-07-14] Loading from cache
[2021-07-15] Loading from cache
[2021-07-16] Loading from cache
[2021-07-19] Loading from cache
[2021-07-20] Loading from cache
[2021-07-21] Could not fetch data (might be a holiday)
[2021-07-22] Loading from cache
[2021-07-23] Loading from cache
[2021-07-26] Loading from cache
[2021-07-27] Loading from cache
[2021-07-28] Loading from cache
[2021-07-29] Loading from cache
[2021-07-30] Loading from cache
[2021-08-02] Loading from cache
[2021-08-03] Loading from cache
[2021-08-04] Loading from cache
[2021-08-05] Loading from cache
[2021-08-06] Loading from cache
[2021-08-09] Loading from cache
[2021-08-10] Loading from cache
[2021-08-11] Loading from cache
[2021-08-12] Loading from cache
[2021-08-13] Loading from cache
[2021-08-16] Loading from cache
[2021-08-17] Loading from cache
[2021-08-18] Loading from cache
[2021-08-19] Could not fetch data (might be a holiday)
[2021-08-20] Loading from cache
[2021-08-23] Loading from cache
[2021-08-24] Loading from cache
[2021-08-25] Loading from cache
[2021-08-26] Loading from cache
[2021-08-27] Loading from cache
[2021-08-30] Loading from cache
[2021-08-31] Loading from cache
[2021-09-01] Loading from cache
[2021-09-02] Loading from cache
[2021-09-03] Loading from cache
[2021-09-06] Loading from cache
[2021-09-07] Loading from cache
[2021-09-08] Loading from cache
[2021-09-09] Loading from cache
[2021-09-10] Could not fetch data (might be a holiday)
[2021-09-13] Loading from cache
[2021-09-14] Loading from cache
[2021-09-15] Loading from cache
[2021-09-16] Loading from cache
[2021-09-17] Loading from cache
[2021-09-20] Loading from cache
[2021-09-21] Loading from cache
[2021-09-22] Loading from cache
[2021-09-23] Loading from cache
[2021-09-24] Loading from cache
[2021-09-27] Loading from cache
[2021-09-28] Loading from cache
[2021-09-29] Loading from cache
[2021-09-30] Loading from cache
[2021-10-01] Loading from cache
[2021-10-04] Loading from cache
[2021-10-05] Loading from cache
[2021-10-06] Loading from cache
[2021-10-07] Loading from cache
[2021-10-08] Loading from cache
[2021-10-11] Loading from cache
[2021-10-12] Loading from cache
[2021-10-13] Loading from cache
[2021-10-14] Loading from cache
[2021-10-15] Could not fetch data (might be a holiday)
[2021-10-18] Loading from cache
[2021-10-19] Loading from cache
[2021-10-20] Loading from cache
[2021-10-21] Loading from cache
[2021-10-22] Loading from cache
[2021-10-25] Loading from cache
[2021-10-26] Loading from cache
[2021-10-27] Loading from cache
[2021-10-28] Loading from cache
[2021-10-29] Loading from cache
[2021-11-01] Loading from cache
[2021-11-02] Loading from cache
[2021-11-03] Loading from cache
[2021-11-04] Loading from cache
[2021-11-05] Could not fetch data (might be a holiday)
[2021-11-08] Loading from cache
[2021-11-09] Loading from cache
[2021-11-10] Loading from cache
[2021-11-11] Loading from cache
[2021-11-12] Loading from cache
[2021-11-15] Loading from cache
[2021-11-16] Loading from cache
[2021-11-17] Loading from cache
[2021-11-18] Loading from cache
[2021-11-19] Could not fetch data (might be a holiday)
[2021-11-22] Loading from cache
[2021-11-23] Loading from cache
[2021-11-24] Loading from cache
[2021-11-25] Loading from cache
[2021-11-26] Loading from cache
[2021-11-29] Loading from cache
[2021-11-30] Loading from cache
[2021-12-01] Loading from cache
[2021-12-02] Loading from cache
[2021-12-03] Loading from cache
[2021-12-06] Loading from cache
[2021-12-07] Loading from cache
[2021-12-08] Loading from cache
[2021-12-09] Loading from cache
[2021-12-10] Loading from cache
[2021-12-13] Loading from cache
[2021-12-14] Loading from cache
[2021-12-15] Loading from cache
[2021-12-16] Loading from cache
[2021-12-17] Loading from cache
[2021-12-20] Loading from cache
[2021-12-21] Loading from cache
[2021-12-22] Loading from cache
[2021-12-23] Loading from cache
[2021-12-24] Loading from cache
[2021-12-27] Loading from cache
[2021-12-28] Loading from cache
[2021-12-29] Loading from cache
[2021-12-30] Loading from cache
[2021-12-31] Loading from cache
[2022-01-03] Loading from cache
[2022-01-04] Loading from cache
[2022-01-05] Loading from cache
[2022-01-06] Loading from cache
[2022-01-07] Loading from cache
[2022-01-10] Loading from cache
[2022-01-11] Loading from cache
[2022-01-12] Loading from cache
[2022-01-13] Loading from cache
[2022-01-14] Loading from cache
[2022-01-17] Loading from cache
[2022-01-18] Loading from cache
[2022-01-19] Loading from cache
[2022-01-20] Loading from cache
[2022-01-21] Loading from cache
[2022-01-24] Loading from cache
[2022-01-25] Loading from cache
[2022-01-26] Could not fetch data (might be a holiday)
[2022-01-27] Loading from cache
[2022-01-28] Loading from cache
[2022-01-31] Loading from cache
[2022-02-01] Loading from cache
[2022-02-02] Loading from cache
[2022-02-03] Loading from cache
[2022-02-04] Loading from cache
[2022-02-07] Loading from cache
[2022-02-08] Loading from cache
[2022-02-09] Loading from cache
[2022-02-10] Loading from cache
[2022-02-11] Loading from cache
[2022-02-14] Loading from cache
[2022-02-15] Loading from cache
[2022-02-16] Loading from cache
[2022-02-17] Loading from cache
[2022-02-18] Loading from cache
[2022-02-21] Loading from cache
[2022-02-22] Loading from cache
[2022-02-23] Loading from cache
[2022-02-24] Loading from cache
[2022-02-25] Loading from cache
[2022-02-28] Loading from cache
[2022-03-01] Could not fetch data (might be a holiday)
[2022-03-02] Loading from cache
[2022-03-03] Loading from cache
[2022-03-04] Loading from cache
[2022-03-07] Loading from cache
[2022-03-08] Loading from cache
[2022-03-09] Loading from cache
[2022-03-10] Loading from cache
[2022-03-11] Loading from cache
[2022-03-14] Loading from cache
[2022-03-15] Loading from cache
[2022-03-16] Loading from cache
[2022-03-17] Loading from cache
[2022-03-18] Could not fetch data (might be a holiday)
[2022-03-21] Loading from cache
[2022-03-22] Loading from cache
[2022-03-23] Loading from cache
[2022-03-24] Loading from cache
[2022-03-25] Loading from cache
[2022-03-28] Loading from cache
[2022-03-29] Loading from cache
[2022-03-30] Loading from cache
[2022-03-31] Loading from cache
[2022-04-01] Loading from cache
[2022-04-04] Loading from cache
[2022-04-05] Loading from cache
[2022-04-06] Loading from cache
[2022-04-07] Loading from cache
[2022-04-08] Loading from cache
[2022-04-11] Loading from cache
[2022-04-12] Loading from cache
[2022-04-13] Loading from cache
[2022-04-14] Could not fetch data (might be a holiday)
[2022-04-15] Could not fetch data (might be a holiday)
[2022-04-18] Loading from cache
[2022-04-19] Loading from cache
[2022-04-20] Loading from cache
[2022-04-21] Loading from cache
[2022-04-22] Loading from cache
[2022-04-25] Loading from cache
[2022-04-26] Loading from cache
[2022-04-27] Loading from cache
[2022-04-28] Loading from cache
[2022-04-29] Loading from cache
[2022-05-02] Loading from cache
[2022-05-03] Could not fetch data (might be a holiday)
[2022-05-04] Loading from cache
[2022-05-05] Loading from cache
[2022-05-06] Loading from cache
[2022-05-09] Loading from cache
[2022-05-10] Loading from cache
[2022-05-11] Loading from cache
[2022-05-12] Loading from cache
[2022-05-13] Loading from cache
[2022-05-16] Loading from cache
[2022-05-17] Loading from cache
[2022-05-18] Loading from cache
[2022-05-19] Loading from cache
[2022-05-20] Loading from cache
[2022-05-23] Loading from cache
[2022-05-24] Loading from cache
[2022-05-25] Loading from cache
[2022-05-26] Loading from cache
[2022-05-27] Loading from cache
[2022-05-30] Loading from cache
[2022-05-31] Loading from cache
[2022-06-01] Loading from cache
[2022-06-02] Loading from cache
[2022-06-03] Loading from cache
[2022-06-06] Loading from cache
[2022-06-07] Loading from cache
[2022-06-08] Loading from cache
[2022-06-09] Loading from cache
[2022-06-10] Loading from cache
[2022-06-13] Loading from cache
[2022-06-14] Loading from cache
[2022-06-15] Loading from cache
